,Sex,Single Year of Age,Administrative Counties,VALUE
3296,Male,Under 1 year,Ireland,29610
3297,Male,Under 1 year,Carlow County Council,346
3298,Male,Under 1 year,Dublin City Council,3188
3299,Male,Under 1 year,Dún Laoghaire Rathdown County Council,1269
3300,Male,Under 1 year,Fingal County Council,2059
3301,Male,Under 1 year,South Dublin County Council,1855
3302,Male,Under 1 year,Kildare County Council,1550
3303,Male,Under 1 year,Kilkenny County Council,570
3304,Male,Under 1 year,Laois County Council,555
3305,Male,Under 1 year,Longford County Council,257
3306,Male,Under 1 year,Louth County Council,852
3307,Male,Under 1 year,Meath County Council,1406
3308,Male,Under 1 year,Offaly County Council,481
3309,Male,Under 1 year,Westmeath County Council,594
3310,Male,Under 1 year,Wexford County Council,910
3311,Male,Under 1 year,Wicklow County Council,910
3312,Male,Under 1 year,Clare County Council,686
3313,Male,Under 1 year,Cork City Council,1159
3314,Male,Under 1 year,Cork County Council,2135
3315,Male,Under 1 year,Kerry County Council,822
3316,Male,Under 1 year,Limerick City & County Council,1116
3317,Male,Under 1 year,Tipperary County Council,1017
3318,Male,Under 1 year,Waterford City & County Council,678
3319,Male,Under 1 year,Galway City Council,405
3320,Male,Under 1 year,Galway County Council,1176
3321,Male,Under 1 year,Leitrim County Council,200
3322,Male,Under 1 year,Mayo  County Council,790
3323,Male,Under 1 year,Roscommon County Council,382
3324,Male,Under 1 year,Sligo County Council,376
3325,Male,Under 1 year,Cavan County Council,505
3326,Male,Under 1 year,Donegal County Council,916
3327,Male,Under 1 year,Monaghan County Council,445
3328,Male,1 year,Ireland,28875
3329,Male,1 year,Carlow County Council,347
3330,Male,1 year,Dublin City Council,2937
3331,Male,1 year,Dún Laoghaire Rathdown County Council,1245
3332,Male,1 year,Fingal County Council,1987
3333,Male,1 year,South Dublin County Council,1922
3334,Male,1 year,Kildare County Council,1535
3335,Male,1 year,Kilkenny County Council,576
3336,Male,1 year,Laois County Council,517
3337,Male,1 year,Longford County Council,244
3338,Male,1 year,Louth County Council,809
3339,Male,1 year,Meath County Council,1403
3340,Male,1 year,Offaly County Council,491
3341,Male,1 year,Westmeath County Council,556
3342,Male,1 year,Wexford County Council,846
3343,Male,1 year,Wicklow County Council,862
3344,Male,1 year,Clare County Council,656
3345,Male,1 year,Cork City Council,1148
3346,Male,1 year,Cork County Council,2070
3347,Male,1 year,Kerry County Council,811
3348,Male,1 year,Limerick City & County Council,1148
3349,Male,1 year,Tipperary County Council,936
3350,Male,1 year,Waterford City & County Council,664
3351,Male,1 year,Galway City Council,362
3352,Male,1 year,Galway County Council,1135
3353,Male,1 year,Leitrim County Council,204
3354,Male,1 year,Mayo  County Council,776
3355,Male,1 year,Roscommon County Council,380
3356,Male,1 year,Sligo County Council,383
3357,Male,1 year,Cavan County Council,527
3358,Male,1 year,Donegal County Council,963
3359,Male,1 year,Monaghan County Council,435
3360,Male,2 years,Ireland,30236
3361,Male,2 years,Carlow County Council,355
3362,Male,2 years,Dublin City Council,3035
3363,Male,2 years,Dún Laoghaire Rathdown County Council,1251
3364,Male,2 years,Fingal County Council,2196
3365,Male,2 years,South Dublin County Council,1867
3366,Male,2 years,Kildare County Council,1543
3367,Male,2 years,Kilkenny County Council,620
3368,Male,2 years,Laois County Council,605
3369,Male,2 years,Longford County Council,301
3370,Male,2 years,Louth County Council,901
3371,Male,2 years,Meath County Council,1463
3372,Male,2 years,Offaly County Council,489
3373,Male,2 years,Westmeath County Council,576
3374,Male,2 years,Wexford County Council,914
3375,Male,2 years,Wicklow County Council,906
3376,Male,2 years,Clare County Council,729
3377,Male,2 years,Cork City Council,1144
3378,Male,2 years,Cork County Council,2184
3379,Male,2 years,Kerry County Council,848
3380,Male,2 years,Limerick City & County Council,1243
3381,Male,2 years,Tipperary County Council,957
3382,Male,2 years,Waterford City & County Council,664
3383,Male,2 years,Galway City Council,406
3384,Male,2 years,Galway County Council,1188
3385,Male,2 years,Leitrim County Council,224
3386,Male,2 years,Mayo  County Council,795
3387,Male,2 years,Roscommon County Council,465
3388,Male,2 years,Sligo County Council,404
3389,Male,2 years,Cavan County Council,541
3390,Male,2 years,Donegal County Council,988
3391,Male,2 years,Monaghan County Council,434
3392,Male,3 years,Ireland,31001
3393,Male,3 years,Carlow County Council,376
3394,Male,3 years,Dublin City Council,2875
3395,Male,3 years,Dún Laoghaire Rathdown County Council,1304
3396,Male,3 years,Fingal County Council,2223
3397,Male,3 years,South Dublin County Council,1997
3398,Male,3 years,Kildare County Council,1611
3399,Male,3 years,Kilkenny County Council,606
3400,Male,3 years,Laois County Council,648
3401,Male,3 years,Longford County Council,283
3402,Male,3 years,Louth County Council,816
3403,Male,3 years,Meath County Council,1539
3404,Male,3 years,Offaly County Council,531
3405,Male,3 years,Westmeath County Council,590
3406,Male,3 years,Wexford County Council,961
3407,Male,3 years,Wicklow County Council,976
3408,Male,3 years,Clare County Council,723
3409,Male,3 years,Cork City Council,1188
3410,Male,3 years,Cork County Council,2260
3411,Male,3 years,Kerry County Council,867
3412,Male,3 years,Limerick City & County Council,1193
3413,Male,3 years,Tipperary County Council,1029
3414,Male,3 years,Waterford City & County Council,755
3415,Male,3 years,Galway City Council,410
3416,Male,3 years,Galway County Council,1247
3417,Male,3 years,Leitrim County Council,240
3418,Male,3 years,Mayo  County Council,814
3419,Male,3 years,Roscommon County Council,441
